Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
centralized,0,None,nan,0.22342881896572828,0.878,nan,nan,0.013049464650940428,0.0069218921522198,nan,nan,nan,nan,nan,nan,nan,nan,20.00482930989169,
centralized,1,None,nan,0.22275804424338347,0.8771,nan,nan,0.012880472260697442,0.006930409042725471,nan,nan,nan,nan,nan,nan,nan,nan,20.003373420863188,
distributed,0,0,-1,0.22237718083326713,0.8748,95.90419161676647,36.88943547720661,0.012140397051213248,0.002575178808721998,0.13474626612512922,0.07209404019119943,6.6391984061607605,6.279544606835103,0.5684476164185123,0.11158125767041108,0.1750067624047544,0.21729623469504114,19.773210698284167,
distributed,0,0,1,0.23862664339436762,0.8526,1.0,0.0,0.013011704763185049,0.006835725840353353,0.12938855534113372,0.05677265903599861,nan,nan,nan,nan,nan,nan,20.363237194917595,
distributed,0,0,2,0.22959684140788494,0.8615,1.9962264150943396,0.08638440069981998,0.013065404606162963,0.00512376936049273,0.12583535051089492,0.046872469004048636,nan,nan,nan,nan,nan,nan,20.186554399468598,
distributed,0,0,3,0.2269127428721964,0.867,2.9943661971830986,0.1825677393479028,0.013293398802903223,0.0040860160593508815,0.1292973149885165,0.05376607565415148,nan,nan,nan,nan,nan,nan,20.088287594179054,
distributed,0,0,5,0.22494898719872491,0.8686,4.992015968063872,0.39603960396039606,0.012886615608214963,0.002584908163944289,0.1349025360717199,0.047658608845673446,nan,nan,nan,nan,nan,nan,20.085529630276998,
distributed,0,0,7,0.2238638845917535,0.8712,6.990275526742302,0.6324156080660804,0.013012787371992622,0.002729527558778392,0.13423825741210174,0.05532364515170646,nan,nan,nan,nan,nan,nan,19.96228343018802,
distributed,0,0,10,0.22332567261975117,0.8726,9.9875173370319,1.0461305803855772,0.013556157052834633,0.0020081774114540795,0.1410020592412106,0.05040810126465932,nan,nan,nan,nan,nan,nan,20.098748964869912,
distributed,0,0,20,0.22287731949447934,0.8731,19.964071856287426,2.495670992423109,0.012965697971140897,0.0016341050419687005,0.1384290985289875,0.04985045735395571,nan,nan,nan,nan,nan,nan,20.061302579847798,
distributed,0,0,30,0.2225487900788121,0.8745,29.973897389738973,4.6421082468065356,0.013274656141202393,0.001481436650812557,0.1435579954497015,0.05060543278699609,nan,nan,nan,nan,nan,nan,20.08377689726093,
distributed,0,0,50,0.22236700918174973,0.8754,49.96083133493205,9.423076923076923,0.013575794366971991,0.0014573757162368748,0.13074370091522655,0.0381684642411106,nan,nan,nan,nan,nan,nan,20.087302326518618,
distributed,0,0,70,0.22238925037456952,0.8743,69.25925925925925,10.897247358851684,0.012754856857311652,0.0007072291572417604,0.13517664150782874,0.045201317104571474,nan,nan,nan,nan,nan,nan,19.927563063080957,
distributed,0,0,100,0.22235762444354348,0.8742,98.56445739257101,6.953563174109122,0.01306281094455981,0.0005951158467828109,0.14176192441475646,0.06113632379399879,nan,nan,nan,nan,nan,nan,19.928614664565938,
distributed,0,1,-1,0.24261513982103616,0.8527,97.39737991266375,40.0984898579596,0.01372959752665238,0.003780724687823579,0.11965628718279223,0.0559885450621011,5.714899816013524,2.7511678371196964,1.519174866658224,0.20658244922272756,0.6906308319332468,0.4384030973131106,19.904216007810483,
distributed,0,1,1,0.23924729246986298,0.8514,1.0,0.0,0.013684721227287991,0.006951424957847305,0.13388847998361678,0.057830445373272914,nan,nan,nan,nan,nan,nan,20.217528565893954,
distributed,0,1,2,0.23041655118470317,0.8599,1.996078431372549,0.08804240366863003,0.014249571115640005,0.004788303303622047,0.12759768561176227,0.05613780987998477,nan,nan,nan,nan,nan,nan,19.95831746378144,
distributed,0,1,3,0.2274699697766387,0.8648,2.994638069705094,0.17816845961056071,0.013827081772004464,0.0034583751534496983,0.12070689150340791,0.05395696638506441,nan,nan,nan,nan,nan,nan,20.244894078549414,
distributed,0,1,5,0.22638285977734213,0.8679,4.992015968063872,0.39603960396039606,0.013089980229521573,0.003183066043065636,0.13356741100376904,0.051314964261084665,nan,nan,nan,nan,nan,nan,20.03741972002361,
distributed,0,1,7,0.2258552222170793,0.8683,6.9906976744186045,0.6188169707500284,0.012974303262811182,0.0025630120337676414,0.1267408171575009,0.04758732007679217,nan,nan,nan,nan,nan,nan,20.156867981030523,
distributed,0,1,10,0.22674711263685596,0.8663,9.979002624671915,0.9057452350214387,0.013162712593607025,0.002078161566436073,0.13139974276476574,0.05826742912642377,nan,nan,nan,nan,nan,nan,20.123252271524613,
distributed,0,1,20,0.2285003436356805,0.8649,19.910167818361302,0.9705387192756535,0.012886975581668583,0.0012288348960881581,0.137856204283271,0.05034711781444018,nan,nan,nan,nan,nan,nan,20.092784695180008,
distributed,0,1,30,0.2307694920612206,0.8631,29.8135593220339,3.0413812651491097,0.013244001725404311,0.001402754500832922,0.1362021988028911,0.057738467873008195,nan,nan,nan,nan,nan,nan,19.95727042036425,
distributed,0,1,50,0.2345961525492227,0.8595,49.79598145285935,1.1538461538461537,0.013020334864015028,0.0010233082707761605,0.12378963491302529,0.049492332997645404,nan,nan,nan,nan,nan,nan,20.064988595848433,
distributed,0,1,70,0.23631476913665955,0.8578,69.55223880597015,13.076696830622021,0.013160491018139214,0.0009514520060989264,0.1262485158193018,0.053423036996500965,nan,nan,nan,nan,nan,nan,20.101585991652662,
distributed,0,1,100,0.24164901216434903,0.8537,98.28980190755686,9.528956942297686,0.013142202600633382,0.0004565100762056733,0.15071854767456913,0.05173578407642491,nan,nan,nan,nan,nan,nan,19.998847494463252,
distributed,0,2,-1,0.22333031357943892,0.8768,97.36229749631812,37.36762101533921,0.01346587172700407,0.002964238406423202,0.13532877218876893,0.03866873141160219,1e-05,0.0,5.2132580717199425e-17,2.2108326285252468e-17,0.0,0.0,19.985294909574677,
distributed,0,2,1,0.23948059679731767,0.8504,1.0,0.0,0.012916389065673337,0.007444650044682776,0.1312074718468214,0.05942410365117871,nan,nan,nan,nan,nan,nan,20.03321666683676,
distributed,0,2,2,0.23154358484317836,0.8619,1.9959183673469387,0.0897996830665631,0.01384687127722179,0.0047086860385426345,0.13537816896531255,0.05373521822831609,nan,nan,nan,nan,nan,nan,20.040889100659918,
distributed,0,2,3,0.22788175044575293,0.8639,2.994269340974212,0.18410819853451293,0.01318973123722171,0.0035588493300135813,0.13244344291079843,0.053194904114496275,nan,nan,nan,nan,nan,nan,20.09051815059136,
distributed,0,2,5,0.22503251737946064,0.8701,4.992094861660079,0.3941127694557212,0.013216237814566018,0.003444947883182127,0.13023963856295273,0.0490336632053871,nan,nan,nan,nan,nan,nan,19.949023431562733,
distributed,0,2,7,0.22418704094476402,0.8718,6.990275526742302,0.6324156080660804,0.01284507006304054,0.002696669418706898,0.13543938669348576,0.053791025757386216,nan,nan,nan,nan,nan,nan,20.0028525064525,
