Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.22294132655516827,0.8734,32.279342723004696,13.899522822524432,0.011870174089218874,0.0021960912269649428,0.12910828350179004,0.05190042847823343,7.500981242904565,4.909069462403885,0.5539892553112893,0.11684856879359676,0.1834725630129043,0.15907575748850553,15.157248342806952,
distributed,0,0,1,0.2467628432674855,0.8424,1.0,0.0,0.011726260661867435,0.00736819337662638,0.13560228707003796,0.05869871265847273,nan,nan,nan,nan,nan,nan,14.880183320922445,
distributed,0,0,2,0.23436651883030846,0.8556,1.9891304347826086,0.14506169422830154,0.012865202460815283,0.004948670888450719,0.13702572998428816,0.053905640327173564,nan,nan,nan,nan,nan,nan,15.114372701456965,
distributed,0,0,3,0.2295101638335024,0.8611,2.985294117647059,0.2916610405434508,0.013208323563719754,0.0036598525082576754,0.12453452061636199,0.0489703666731021,nan,nan,nan,nan,nan,nan,15.081324663976275,
distributed,0,0,5,0.22646598306449492,0.8682,4.979057591623037,0.6322475900481002,0.013494635047937197,0.0032285437910443003,0.13032354596844375,0.05198059097279677,nan,nan,nan,nan,nan,nan,15.29359070268552,
distributed,0,0,7,0.22526599019230134,0.8695,6.974137931034483,1.013746349389064,0.012933860511290102,0.0031568770492174077,0.13534064232811632,0.0627860347130147,nan,nan,nan,nan,nan,nan,15.140009286525625,
distributed,0,0,10,0.22426451597836683,0.8713,9.942807625649912,1.2631383650092685,0.012953833897354947,0.0021032145763777055,0.1271423809999447,0.04426686290653546,nan,nan,nan,nan,nan,nan,15.024609812780868,
distributed,0,0,20,0.2231656142372299,0.8733,19.95140664961637,4.092767230737295,0.01309719686565228,0.0024906316433396906,0.12517780268288545,0.04904356943191818,nan,nan,nan,nan,nan,nan,15.275462649584513,
distributed,0,0,30,0.22295243152378283,0.8731,29.931116389548695,7.233870947762953,0.012327249604403994,0.002980722756052066,0.13426117568456872,0.05481358839511218,nan,nan,nan,nan,nan,nan,14.992962113278642,
distributed,0,0,50,0.222713305252706,0.8739,49.89684210526316,10.670051546267244,0.013590558542483292,0.0014665974530262335,0.12475697185470787,0.05499789270630485,nan,nan,nan,nan,nan,nan,15.198881639183153,
distributed,0,0,70,0.22266787092676182,0.8744,68.7314906219151,18.52268457189724,0.01314043418036374,0.0009176625337098767,0.1264113985431031,0.037405018340673314,nan,nan,nan,nan,nan,nan,15.33440534233549,
distributed,0,0,100,0.22276284073346164,0.874,98.173828125,33.10169515632428,0.013500218353858798,0.0018230977032142172,0.1219583172867002,0.04345041771607755,nan,nan,nan,nan,nan,nan,14.924171128964316,
distributed,0,1,-1,0.2277168343376682,0.8645,8.64313725490196,2.660288515598617,0.013234791296200922,0.002618287012359046,0.12603883119277917,0.05055738690806573,12.128810154960748,3.1405202810164154,1.3556429390450557,0.1860952113379291,0.926434968310845,0.22391595423203994,15.091688505649245,
distributed,0,1,1,0.24598154392571145,0.8446,1.0,0.0,0.014512101469845466,0.0063807881136142604,0.12811474866618475,0.04890978446182639,nan,nan,nan,nan,nan,nan,14.83319241414714,
distributed,0,1,2,0.23466415999399692,0.8554,1.9891304347826086,0.14506169422830154,0.01341105420585328,0.004761361150768405,0.13410285275671122,0.05510082043350647,nan,nan,nan,nan,nan,nan,14.945550467745683,
distributed,0,1,3,0.23024799199619775,0.8595,2.985294117647059,0.2916610405434508,0.013688356696454346,0.0037567865863499528,0.12066631278403653,0.0574879944236826,nan,nan,nan,nan,nan,nan,14.825193056294621,
distributed,0,1,5,0.22837709489093788,0.8633,4.978494623655914,0.6402907926629705,0.013483213208156243,0.0030794057923268486,0.1350459512165596,0.05240356061333621,nan,nan,nan,nan,nan,nan,15.232620950484751,
distributed,0,1,7,0.22728089612611466,0.8645,6.975609756097561,0.9860132971832692,0.013068307191868661,0.002795461992930377,0.12199109080400511,0.053371216357308474,nan,nan,nan,nan,nan,nan,15.223541154516521,
distributed,0,1,10,0.2279117670330834,0.8635,9.946808510638299,1.4714888478173702,0.012686800363654546,0.0027482223335718063,0.13159615762183288,0.044926576497672566,nan,nan,nan,nan,nan,nan,14.928029912768336,
distributed,0,1,20,0.23044695282090796,0.8622,19.945868945868945,4.2963622984182255,0.013101688304534037,0.0018601773923716419,0.15209931423894735,0.04703884504400774,nan,nan,nan,nan,nan,nan,15.025223376589096,
distributed,0,1,30,0.23248739539658786,0.8598,29.841099163679807,5.315716047598106,0.013047967741911607,0.0011338096310129814,0.13722793243249076,0.05030768905833427,nan,nan,nan,nan,nan,nan,14.836848115530332,
