case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.30144658113120615,1.0704850087531773e+41,0.5102,nan,nan,nan,10,0.015378708096367386,0.14765950016753226
0,0.6132434090578845,2.0076123155869225e+86,0.5073,nan,nan,nan,10,0.01025829864124426,0.2092138415142358
0,0.8248292118474992,3.874022624144696e+131,0.5073,nan,nan,nan,10,0.01710834689217271,0.04050233386788758
0,1.164947597204662,7.032500095619741e+176,0.5073,nan,nan,nan,10,0.011950597164214757,0.22061241371501505
0,1.2987859491463725,1.1355027497984142e+222,0.5073,nan,nan,nan,10,0.01338383518417106,1e-10
0,1.596218409665041,1.4262168769332374e+267,0.5073,nan,nan,nan,10,0.016260425053629624,0.13482820998237208
0,1.8089598355753127,inf,0.5073,nan,nan,nan,10,0.014433400679824803,0.06840741911202365
0,2.0910471299406947,inf,0.5073,nan,nan,nan,10,0.01414793802159837,0.14060791414939836
0,2.293370345482902,inf,0.5073,nan,nan,nan,10,0.014020753690478203,0.06211567863742537
0,2.544942032412089,inf,0.5073,nan,nan,nan,10,0.013363273332996964,0.11793895359921709
0,2.908943458983802,inf,0.5073,nan,nan,nan,10,0.014811022787793993,0.21589119869377293
0,3.189438380655831,inf,0.5073,nan,nan,nan,10,0.01499690346987308,0.13052588697329798
0,3.3825457463105275,inf,0.5073,nan,nan,nan,10,0.013893514234030718,0.05417222331438941
0,3.6846562852906257,inf,0.5073,nan,nan,nan,10,0.01235690355711354,0.17854150340896296
0,3.966900911852449,inf,0.4926,nan,nan,nan,1,0.013313165578496171,0.26893146098332693
0,4.248770095625299,inf,0.4926,nan,nan,nan,10,0.01489096005089768,0.1329595832638735
0,4.430855783434255,inf,0.5073,nan,nan,nan,1,0.012703888917796877,0.16938179889115876
0,4.669905845938081,inf,0.5073,nan,nan,nan,10,0.015418058562351187,0.0848694768803149
0,4.828496635952561,inf,0.4926,nan,nan,nan,1,0.003688265434595852,0.1549025245798842
0,5.152886861234324,inf,0.4926,nan,nan,nan,10,0.016051773167003937,0.16387249361172382
0,5.307408339012613,inf,0.5073,nan,nan,nan,1,0.013754694779057604,0.14076678299923134
0,5.537013524084294,inf,0.5073,nan,nan,nan,10,0.012063213682766864,0.10897304824401269
0,5.588027838086118,inf,0.4926,nan,nan,nan,1,0.00523115060335586,0.045783163398467955
0,5.8440221149925,inf,0.4926,nan,nan,nan,10,0.014133926399781569,0.11465501290856644
0,5.969010499784076,inf,0.0003,nan,nan,nan,1,0.00687631793154162,0.11811206686003514
0,6.225694360334203,inf,0.0003,nan,nan,nan,10,0.014508686613614314,0.11159699441398412
0,6.4997677090261,inf,0.0003,nan,nan,nan,1,0.01816636787394331,0.2559069808179535
0,6.6958702262696495,inf,0.0003,nan,nan,nan,1,0.008280493515090592,0.18782202372845858
0,6.859397714908813,inf,0.0003,nan,nan,nan,1,0.014561617342053523,0.14896587129710925
0,6.980143455469512,inf,0.0003,nan,nan,nan,1,0.015241171928254211,0.10550456863244487
0,7.191869780631079,inf,0.0003,nan,nan,nan,1,0.0094530066567264,0.20227331850484115
0,7.289240207000088,inf,0.0003,nan,nan,nan,1,0.007837168087786213,0.0895332582812223
0,7.402400140017317,inf,0.0003,nan,nan,nan,1,0.003840386170950179,0.10931954684627919
0,7.572791244106664,inf,0.0003,nan,nan,nan,1,0.026882832636293572,0.14350827145305417
0,7.642070818265157,inf,0.0003,nan,nan,nan,1,0.004120613834548184,0.0651589603239447
0,7.772270594609199,inf,0.0003,nan,nan,nan,1,0.012615569572663902,0.11758420677137786
0,7.894628948039852,inf,0.0003,nan,nan,nan,1,0.007894414037536766,0.11446393939311589
0,8.014808809168047,inf,0.0003,nan,nan,nan,1,0.008881846204956568,0.11129801492323767
0,8.16039988464474,inf,0.0003,nan,nan,nan,1,0.015669522273002293,0.12992155320369106
0,8.393975245864935,inf,0.0003,nan,nan,nan,1,0.013908987447707489,0.2196663737724885
0,8.49373157523945,inf,0.0003,nan,nan,nan,1,0.011763141164164723,0.08799318821035054
0,8.642775189369605,inf,0.0003,nan,nan,nan,1,0.021566795161399397,0.1274768189687556
0,8.85032476985343,inf,0.0003,nan,nan,nan,1,0.01631329506731074,0.19123628541651408
0,9.076958677256778,inf,0.0003,nan,nan,nan,1,0.007011067200087677,0.21962284020326092
0,9.171992390975346,inf,0.0003,nan,nan,nan,1,0.022311404624463925,0.07272230909410402
0,9.329895851270564,inf,0.0003,nan,nan,nan,1,0.005965595212554514,0.15193786508266385
0,9.555193287280995,inf,0.0003,nan,nan,nan,1,0.01796499172869557,0.20733244428173472
0,9.691064238024175,inf,0.0003,nan,nan,nan,1,1e-08,0.1358709407431811
0,9.759553475031682,inf,0.0003,nan,nan,nan,1,0.01935533409999106,0.0491339029075146
0,9.9273314352309,inf,0.0003,nan,nan,nan,1,0.017245809344946676,0.15053215085427296
0,10.109435363434425,inf,0.0003,nan,nan,nan,1,0.003850132080297752,0.17825379612322634
0,10.271416107907951,inf,0.0003,nan,nan,nan,1,0.00987180389431312,0.15210894057921276
